ID,총 투자금(억원),가치대비매출,직원 수,총투자금당직원수,직원당매출,SNS 팔로워 수(백만명),고객당매출,투자수익비,연매출(억원),고객수(백만명),설립연도,기업나이,투자단계,기업가치(백억원),성공확률
TRAIN_3959,0.0730807435788278,0.0016941816365354,0.4071700380532746,0.0101045081297291,0.0014059861561869,0.908,0.035461162935828,0.0088422787293707,0.3186360567184335,0.1122448979591836,0.9090909090909064,0.0909090909090909,0.75,0.476429376144205,0.1
TRAIN_0733,0.2338583794522492,0.0068091681263229,0.6090526737432405,0.0047919896958648,0.0004140980639742,0.4,0.002389905088118,0.0012369427169414,0.1401755570560432,0.7857142857142856,0.681818181818187,0.3181818181818182,0.75,1.0,0.1
TRAIN_3824,0.5864907052646516,0.0004381744075554,0.4939564128475725,0.0015538120476769,0.0031116364863203,0.596,0.0231842351785487,0.0030137422013664,0.8559756920999324,0.4919829842931936,0.4545454545454532,0.5454545454545454,0.0,0.476429376144205,0.1
TRAIN_4168,0.1681566624095359,0.001011272282061,0.3635089124774684,0.0039699196107171,0.0023901179179067,0.854,0.0131085150262034,0.0059065716072199,0.4839297771775827,0.4919829842931936,0.9545454545454533,0.0454545454545454,0.25,0.476429376144205,0.1
TRAIN_3771,0.6849723286504895,0.0016883558999539,0.3332665732024835,0.0008968495793662,0.0008303940204714,0.352,0.0041683705933874,0.0004639428551592,0.1538149898717083,0.4919829842931936,0.7727272727272805,0.2272727272727272,1.0,0.0,0.1
TRAIN_2702,0.4460053923655456,0.0038897108383045,0.2267174043661125,0.0009373015910015,0.0018862329361666,0.6440000000000001,0.0064541510272225,0.0011031465475996,0.238217420661715,0.4919829842931936,0.0454545454545467,0.9545454545454544,0.25,1.0,0.1
TRAIN_0244,0.1637576273591599,0.0003407880388275,0.8245543761265772,0.009236591971408,0.0015523770575931,0.4,0.1056143962391795,0.008923859906202,0.7124915597569209,0.0816326530612244,0.5909090909090935,0.409090909090909,1.0,0.2222222222222222,0.1
TRAIN_1964,0.0527884206045125,0.0004608031464581,0.5343480873222511,0.0181920076120737,0.0020209105580563,0.6000000000000001,0.0109724810965516,0.0228733656201748,0.6012153950033761,0.7346938775510203,0.5,0.5,0.5,0.2222222222222222,0.1
TRAIN_4321,0.8111253015467574,0.0014754723148147,0.500901261766473,0.0011389022865079,0.0012834602752292,0.76,0.0096926447458802,0.0009111965435261,0.3577987846049966,0.4919829842931936,0.5,0.5,1.0,0.476429376144205,0.1
TRAIN_2028,0.4435930183056619,0.0010081543807616,0.2046865611856599,0.0008507691535488,0.0042468702893162,0.284,0.0131396016401035,0.0022569933854984,0.4850776502363267,0.4919829842931936,0.1363636363636402,0.8636363636363636,0.75,0.476429376144205,0.1
TRAIN_0078,0.6416914999290478,0.0004494037479381,0.6607250150210294,0.0019001793507816,0.0022925544104234,0.718,0.018126330137901,0.0027141251710539,0.8432815665091153,0.6224489795918366,0.1363636363636402,0.8636363636363636,0.5,0.476429376144205,0.1
TRAIN_1109,0.0777635873421314,0.0003759031186132,0.4712597636691368,0.0110025701196427,0.002575475139417,0.4,0.0231071066131753,0.0176296871128552,0.675894665766374,0.3877551020408162,0.2272727272727337,0.7727272727272727,0.75,0.2222222222222222,0.1
TRAIN_3729,0.5998297147722434,0.0007823319851905,0.4165832165031043,0.0012810096908592,0.003198464450041,0.4,0.0241344737725687,0.0025552353419042,0.7422012153950033,0.4081632653061224,0.0909090909090934,0.9090909090909092,0.0,0.7222222222222223,0.1
TRAIN_1799,0.4441606357315169,0.0275584454642635,0.0294412177047867,0.0001216842320897,0.001354720601365,0.808,0.0006025531166046,0.0001043095718099,0.0221471978392977,0.4919829842931936,0.1818181818181869,0.8181818181818182,0.25,0.476429376144205,0.1
TRAIN_3089,0.3759046402724563,0.0007858563267639,0.6008411776487081,0.0029472904208282,0.0016846757673314,0.044,0.0152626345070496,0.0030918409200709,0.563470627954085,0.4919829842931936,0.9090909090909064,0.0909090909090909,0.5,0.4444444444444445,0.1
TRAIN_0625,0.3448275862068965,0.0004562555619242,0.7834968956539154,0.0041883176946249,0.0019161994639475,0.45,0.0166217490413116,0.0049960343763949,0.8357191087103307,0.673469387755102,1.0,0.0,0.75,0.476429376144205,0.1
TRAIN_3800,0.0018447566340286,0.0004606012132879,0.4939564128475725,0.2584096214411216,0.0030208592953308,0.052,0.0225076441701335,0.485476647659431,0.8309925725860904,0.4919829842931936,0.8181818181818272,0.1818181818181818,0.75,0.476429376144205,0.1
TRAIN_3804,0.8265928764013055,0.0022815364251314,0.685559783697176,0.0015304673742241,0.0010133724337131,0.8,0.0128905356739778,0.000966210967566,0.3866306549628629,0.3979591836734693,0.0909090909090934,0.9090909090909092,0.5,1.0,0.1
TRAIN_3119,0.4837519511849014,0.0002609523594094,0.8303625075105147,0.0031671731253289,0.0011713873289078,0.8400000000000001,0.0146646743455584,0.0023102807115263,0.5413909520594192,0.4919829842931936,0.3636363636363739,0.6363636363636364,0.0,0.0,0.1
TRAIN_1850,0.4112388250319284,0.0008313731899553,0.7212096935709994,0.003234584602312,0.0013960749538473,0.968,0.0085789185947701,0.0028118488687992,0.5604321404456447,0.8775510204081631,0.4545454545454532,0.5454545454545454,1.0,0.476429376144205,0.1
TRAIN_0700,0.6297715339860933,0.0197918739250375,0.121369917885039,0.0003541496562639,0.00044998740384,0.8,0.0007837131834228,9.843355891744448e-05,0.0299122214719783,0.510204081632653,0.5909090909090935,0.409090909090909,0.0,0.4444444444444445,0.1
