ID,설립연도,투자단계,직원 수,고객수(백만명),총 투자금(억원),연매출(억원),SNS 팔로워 수(백만명),기업가치(백억원),성공확률,국가_CT001,국가_CT002,국가_CT003,국가_CT004,국가_CT005,국가_CT006,국가_CT007,국가_CT008,국가_CT009,국가_CT010,분야_AI,분야_Unknown,분야_게임,분야_기술,분야_물류,분야_에너지,분야_에듀테크,분야_이커머스,분야_푸드테크,분야_핀테크,분야_헬스케어,인수여부_No,인수여부_Yes,상장여부_No,상장여부_Yes,기업나이,직원당매출,고객당매출,투자수익비,SNS팔로워등급,가치대비매출,총투자금당직원수
TRAIN_3959,0.9090909090909065,0.75,0.4071700380532746,0.11224489795918367,0.07308074357882788,0.3186360567184335,0.908,0.47642937614420505,0.1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,0.09090909090909091,0.0014059861561869268,0.035461162935828,0.008842278729370753,1.0,0.00169418163653545,0.010104508129729187
TRAIN_0733,0.681818181818187,0.75,0.6090526737432405,0.7857142857142856,0.2338583794522492,0.1401755570560432,0.4,1.0,0.1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,0.31818181818181823,0.0004140980639742481,0.002389905088118033,0.001236942716941435,0.5,0.006809168126322935,0.004791989695864824
TRAIN_3824,0.45454545454545325,0.0,0.4939564128475725,0.49198298429319365,0.5864907052646516,0.8559756920999324,0.596,0.47642937614420505,0.1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,0.5454545454545454,0.0031116364863203916,0.02318423517854874,0.0030137422013664073,0.5,0.0004381744075554951,0.0015538120476769248
TRAIN_4168,0.9545454545454533,0.25,0.36350891247746847,0.49198298429319365,0.16815666240953597,0.4839297771775827,0.854,0.47642937614420505,0.1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,0.04545454545454544,0.002390117917906773,0.013108515026203436,0.0059065716072199985,1.0,0.0010112722820610166,0.003969919610717129
TRAIN_3771,0.7727272727272805,1.0,0.3332665732024835,0.49198298429319365,0.6849723286504895,0.1538149898717083,0.35200000000000004,0.0,0.1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,0.22727272727272727,0.0008303940204714057,0.004168370593387434,0.00046394285515926996,0.5,0.001688355899953933,0.0008968495793662571
TRAIN_2702,0.045454545454546746,0.25,0.22671740436611257,0.49198298429319365,0.4460053923655456,0.23821742066171503,0.6440000000000001,1.0,0.1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.9545454545454545,0.0018862329361666768,0.006454151027222576,0.001103146547599675,1.0,0.003889710838304521,0.0009373015910015293
TRAIN_0244,0.5909090909090935,1.0,0.8245543761265772,0.08163265306122448,0.16375762735915994,0.7124915597569209,0.4,0.22222222222222227,0.1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0.40909090909090906,0.0015523770575931299,0.10561439623917956,0.008923859906202062,0.5,0.0003407880388275534,0.009236591971408022
TRAIN_1964,0.5,0.5,0.5343480873222511,0.7346938775510203,0.05278842060451256,0.6012153950033761,0.6000000000000001,0.22222222222222227,0.1,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,0.5,0.002020910558056373,0.010972481096551677,0.022873365620174866,0.5,0.00046080314645814154,0.01819200761207374
TRAIN_4321,0.5,1.0,0.500901261766473,0.49198298429319365,0.8111253015467574,0.35779878460499664,0.76,0.47642937614420505,0.1,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,0.5,0.0012834602752292068,0.009692644745880203,0.0009111965435261704,1.0,0.001475472314814797,0.0011389022865079194
TRAIN_2028,0.13636363636364024,0.75,0.20468656118565995,0.49198298429319365,0.44359301830566195,0.48507765023632676,0.284,0.47642937614420505,0.1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,0.8636363636363636,0.004246870289316295,0.013139601640103594,0.002256993385498471,0.5,0.001008154380761666,0.000850769153548809
TRAIN_0078,0.13636363636364024,0.5,0.6607250150210294,0.6224489795918366,0.6416914999290478,0.8432815665091153,0.718,0.47642937614420505,0.1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,0.8636363636363636,0.0022925544104234505,0.018126330137901027,0.0027141251710539977,1.0,0.0004494037479381683,0.0019001793507816378
TRAIN_1109,0.22727272727273373,0.75,0.4712597636691368,0.38775510204081626,0.0777635873421314,0.675894665766374,0.4,0.22222222222222227,0.1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,0.7727272727272727,0.002575475139417026,0.02310710661317534,0.017629687112855213,0.5,0.00037590311861329927,0.01100257011964272
TRAIN_3729,0.09090909090909349,0.0,0.41658321650310437,0.4081632653061224,0.5998297147722434,0.7422012153950033,0.4,0.7222222222222223,0.1,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,0.9090909090909091,0.0031984644500410633,0.024134473772568752,0.0025552353419042756,0.5,0.0007823319851905954,0.0012810096908592702
TRAIN_1799,0.18181818181818699,0.25,0.029441217704786703,0.49198298429319365,0.44416063573151693,0.022147197839297767,0.808,0.47642937614420505,0.1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,0.8181818181818182,0.0013547206013650357,0.0006025531166046139,0.00010430957180999682,1.0,0.027558445464263566,0.00012168423208979908
TRAIN_3089,0.9090909090909065,0.5,0.6008411776487081,0.49198298429319365,0.37590464027245635,0.563470627954085,0.044000000000000004,0.4444444444444445,0.1,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,0.09090909090909091,0.0016846757673314198,0.015262634507049674,0.0030918409200709662,0.0,0.0007858563267639854,0.0029472904208282845
